MemTotal:       32784156 kB
MemFree:         1204988 kB
MemAvailable:    9531072 kB
Buffers:          412356 kB
Cached:          8123408 kB
SwapCached:        20484 kB
Active:         18234112 kB
Inactive:        7123008 kB
Active(anon):   15234112 kB
Inactive(anon):  1123008 kB
Active(file):    3000000 kB
Inactive(file):  6000000 kB
Unevictable:      102400 kB
Mlocked:            2048 kB
SwapTotal:       2097152 kB
SwapFree:        1835008 kB
Dirty:             30720 kB
Writeback:          1024 kB
AnonPages:      17234112 kB
Mapped:          1023408 kB
Shmem:            614400 kB
KReclaimable:     512000 kB
Slab:             823296 kB
SReclaimable:     512000 kB
SUnreclaim:       311296 kB
KernelStack:       32768 kB
PageTables:       102400 kB
CommitLimit:    18489228 kB
Committed_AS:   30123456 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      123456 kB
Hugepagesize:       2048 kB
